amenity fountain
building cathedral
building castle
historic aircraft
historic aqueduct
historic cannon
historic castle
historic city_gate
historic locomotive
historic railway_car
historic tank
landuse basin
leisure garden
leisure nature_reserve
leisure park
natural blowhole
natural geyser
natural hot_spring
natural arch
natural fumarole
tourism viewpoint
